,Earnings,IMDB rating,MetaCritic Score,Money Missed,Open Seats,Popularity,Rating Runtime Genre,Release Date,Star Power,Taken Seats,Time Taken,peopleInolved,percent full,price,time,title
0,"Gross USA: $35,170,193",6.7,60,,,1,"R, 1 hr 49 min
Action/Adventure, Suspense/Thriller",Release Date: 7 February 2020 (USA) See more »,1031,,14:57:12," Director:: Cathy Yan, Writer:: Christina Hodson, Stars:: Margot Robbie, Rosie Perez, Mary Elizabeth Winstead, See full cast & crew, ",,,,BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN)1
1,"Gross USA: $35,170,193",6.7,60,,,1,"R, 1 hr 49 min
Action/Adventure, Suspense/Thriller",Release Date: 7 February 2020 (USA) See more »,1031,,14:57:12," Director:: Cathy Yan, Writer:: Christina Hodson, Stars:: Margot Robbie, Rosie Perez, Mary Elizabeth Winstead, See full cast & crew, ",,,,BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN)2
2,"Gross USA: $35,170,193",6.7,60,12795.98,502.0,1,"R, 1 hr 49 min
Action/Adventure, Suspense/Thriller",Release Date: 7 February 2020 (USA) See more »,1031,18.0,14:57:12," Director:: Cathy Yan, Writer:: Christina Hodson, Stars:: Margot Robbie, Rosie Perez, Mary Elizabeth Winstead, See full cast & crew, ",0.03461538461538462,$25.49,4:00p,BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN)3
3,"Gross USA: $35,170,193",6.7,60,11597.949999999999,455.0,1,"R, 1 hr 49 min
Action/Adventure, Suspense/Thriller",Release Date: 7 February 2020 (USA) See more »,1031,65.0,14:57:18," Director:: Cathy Yan, Writer:: Christina Hodson, Stars:: Margot Robbie, Rosie Perez, Mary Elizabeth Winstead, See full cast & crew, ",0.125,$25.49,6:45p,BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN)4
4,"Gross USA: $35,170,193",6.7,60,12795.98,502.0,1,"R, 1 hr 49 min
Action/Adventure, Suspense/Thriller",Release Date: 7 February 2020 (USA) See more »,1031,18.0,14:57:24," Director:: Cathy Yan, Writer:: Christina Hodson, Stars:: Margot Robbie, Rosie Perez, Mary Elizabeth Winstead, See full cast & crew, ",0.03461538461538462,$25.49,9:45p,BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN)5
5,"Gross USA: $35,170,193",6.7,60,,,1,"R, 1 hr 49 min
Action/Adventure, Suspense/Thriller",Release Date: 7 February 2020 (USA) See more »,1031,,14:57:32," Director:: Cathy Yan, Writer:: Christina Hodson, Stars:: Margot Robbie, Rosie Perez, Mary Elizabeth Winstead, See full cast & crew, ",,,,BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN)6
6,"Gross USA: $35,170,193",6.7,60,,,1,"R, 1 hr 49 min
Action/Adventure, Suspense/Thriller",Release Date: 7 February 2020 (USA) See more »,1031,,14:57:32," Director:: Cathy Yan, Writer:: Christina Hodson, Stars:: Margot Robbie, Rosie Perez, Mary Elizabeth Winstead, See full cast & crew, ",,,,BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN)7
7,"Gross USA: $35,170,193",6.7,60,7231.7699999999995,273.0,1,"R, 1 hr 49 min
Action/Adventure, Suspense/Thriller",Release Date: 7 February 2020 (USA) See more »,1031,24.0,14:57:32," Director:: Cathy Yan, Writer:: Christina Hodson, Stars:: Margot Robbie, Rosie Perez, Mary Elizabeth Winstead, See full cast & crew, ",0.08080808080808081,$26.49,5:00p,BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN)8
8,"Gross USA: $35,170,193",6.7,60,6675.48,252.0,1,"R, 1 hr 49 min
Action/Adventure, Suspense/Thriller",Release Date: 7 February 2020 (USA) See more »,1031,45.0,14:57:38," Director:: Cathy Yan, Writer:: Christina Hodson, Stars:: Margot Robbie, Rosie Perez, Mary Elizabeth Winstead, See full cast & crew, ",0.15151515151515152,$26.49,7:45p,BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN)9
9,"Gross USA: $35,170,193",6.7,60,7761.57,293.0,1,"R, 1 hr 49 min
Action/Adventure, Suspense/Thriller",Release Date: 7 February 2020 (USA) See more »,1031,4.0,14:57:45," Director:: Cathy Yan, Writer:: Christina Hodson, Stars:: Margot Robbie, Rosie Perez, Mary Elizabeth Winstead, See full cast & crew, ",0.013468013468013467,$26.49,10:30p,BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN)10
10,"Gross USA: $35,170,193",6.7,60,,,1,"R, 1 hr 49 min
Action/Adventure, Suspense/Thriller",Release Date: 7 February 2020 (USA) See more »,1031,,14:58:21," Director:: Cathy Yan, Writer:: Christina Hodson, Stars:: Margot Robbie, Rosie Perez, Mary Elizabeth Winstead, See full cast & crew, ",,,,BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN)11
11,"Gross USA: $35,170,193",6.7,60,5903.419999999999,358.0,1,"R, 1 hr 49 min
Action/Adventure, Suspense/Thriller",Release Date: 7 February 2020 (USA) See more »,1031,1.0,14:58:21," Director:: Cathy Yan, Writer:: Christina Hodson, Stars:: Margot Robbie, Rosie Perez, Mary Elizabeth Winstead, See full cast & crew, ",0.002785515320334262,$16.49,3:00p,BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN)12
12,"Gross USA: $35,170,193",6.7,60,5886.929999999999,357.0,1,"R, 1 hr 49 min
Action/Adventure, Suspense/Thriller",Release Date: 7 February 2020 (USA) See more »,1031,2.0,14:58:57," Director:: Cathy Yan, Writer:: Christina Hodson, Stars:: Margot Robbie, Rosie Perez, Mary Elizabeth Winstead, See full cast & crew, ",0.005571030640668524,$16.49,6:00p,BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN)13
13,"Gross USA: $35,170,193",6.7,60,5919.91,359.0,1,"R, 1 hr 49 min
Action/Adventure, Suspense/Thriller",Release Date: 7 February 2020 (USA) See more »,1031,0.0,14:59:33," Director:: Cathy Yan, Writer:: Christina Hodson, Stars:: Margot Robbie, Rosie Perez, Mary Elizabeth Winstead, See full cast & crew, ",0.0,$16.49,9:00p,BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN)14
14,"Gross USA: $76,251",6.6,63,,,48,"R, 1 hr 48 min
Drama, Horror, Suspense/Thriller",Release Date: 7 February 2020 (USA) See more »,16012,,15:00:32," Directors:: Severin Fiala, Veronika Franz, Writers:: Sergio Casci, Severin Fiala, 1 more credit, Stars:: Richard Armitage, Riley Keough, Alicia Silverstone, See full cast & crew, ",,,,THE LODGE (2020)1
15,"Gross USA: $76,251",6.6,63,,,48,"R, 1 hr 48 min
Drama, Horror, Suspense/Thriller",Release Date: 7 February 2020 (USA) See more »,16012,,15:00:32," Directors:: Severin Fiala, Veronika Franz, Writers:: Sergio Casci, Severin Fiala, 1 more credit, Stars:: Richard Armitage, Riley Keough, Alicia Silverstone, See full cast & crew, ",,,,THE LODGE (2020)2
16,"Gross USA: $76,251",6.6,63,5359.249999999999,325.0,48,"R, 1 hr 48 min
Drama, Horror, Suspense/Thriller",Release Date: 7 February 2020 (USA) See more »,16012,17.0,15:00:32," Directors:: Severin Fiala, Veronika Franz, Writers:: Sergio Casci, Severin Fiala, 1 more credit, Stars:: Richard Armitage, Riley Keough, Alicia Silverstone, See full cast & crew, ",0.049707602339181284,$16.49,4:30p,THE LODGE (2020)3
